comment,Cleaned_Comment,Sentiment
FANTASTIC!!,FANTASTIC,positive
"Give me Palermo GP, now.",Give me Palermo GP now,neutral
La macchina di vestappen traballa l&#39;anteriore ci sono le bucche sulla strada  hahahaha la solita Italia,La macchina di vestappen traballa l39anteriore ci sono le bucche sulla strada  hahahaha la solita Italia,positive
Altro che MonteCarlo,Altro che MonteCarlo,neutral
Tutti i Palermo in questo momento: “TALEEE UNNE SUNNU”,Tutti i Palermo in questo momento TALEEE UNNE SUNNU,neutral
Great cinematic promotion!!!<br>Would be more awesome if Max really was driving the RB.<br>Can&#39;t wait to see what the guys of RB have in store for México GP with Checo.<br>Excellent as always!!!,Great cinematic promotionWould be more awesome if Max really was driving the RBCan39t wait to see what the guys of RB have in store for Mxico GP with ChecoExcellent as always,positive
It is an honour to host Red Bull! 🤗 Thanks for choosing Sicily! 😊 Hope you enjoyed our land 😊 Can&#39;t wait to have you here again and good luck for the rest of 2021 season! 😃,It is an honour to host Red Bull  Thanks for choosing Sicily  Hope you enjoyed our land  Can39t wait to have you here again and good luck for the rest of 2021 season,positive
Ferrari no?,Ferrari no,neutral
Avete bloccato una città ma ne è valsa la pena!,Avete bloccato una citt ma ne  valsa la pena,neutral
Poche citta al mondo riescono a restituire una scenografia cosi spettacolare e favolosa,Poche citta al mondo riescono a restituire una scenografia cosi spettacolare e favolosa,neutral
Welcome to <del>Italy</del> Sicily! 🍋❤🎉,Welcome to Italy Sicily,positive
Idk how red Bull isn’t everyone’s favorite team after all this stuff,Idk how red Bull isnt everyones favorite team after all this stuff,positive
NOT MAX. NOT MAX&#39;S VOICE. NOT MAX&#39;S CAR.,NOT MAX NOT MAX39S VOICE NOT MAX39S CAR,neutral
"È stupendo, che meraviglia la mia città❤",stupendo che meraviglia la mia citt,neutral
"God, let&#39;s go for that championship and I send you many greetings I am Mexican and as you will know, you already know who I am with 🇲🇽🇲🇽🇲🇽🇲🇽🇲🇽🇲🇽🇲🇽 I send you GREETINGS and a strong will ☝️☝️☝️🙏🙏💪💪💪✌️ ✌️✌️🏁",God let39s go for that championship and I send you many greetings I am Mexican and as you will know you already know who I am with  I send you GREETINGS and a strong will,positive
"As well as saying hello, Italy, we are here and we are going for that one, I liked the video hahahahaha, it&#39;s good, listen in the land of Ferrari and it will be good, good race and I am not going to miss it first.",As well as saying hello Italy we are here and we are going for that one I liked the video hahahahaha it39s good listen in the land of Ferrari and it will be good good race and I am not going to miss it first,positive
Lesson learnt: there are no kids or unattractive women in Italy,Lesson learnt there are no kids or unattractive women in Italy,neutral
Palermo ❤️,Palermo,neutral
"Stunning shots thanks Red Bull. Max, Max super Max he is the King",Stunning shots thanks Red Bull Max Max super Max he is the King,positive
Spoiler alert... Max was not driving.,Spoiler alert Max was not driving,neutral
Why red bull still using 2011 car instead 2012 or 2013,Why red bull still using 2011 car instead 2012 or 2013,neutral
Spettacolare,Spettacolare,neutral
Red Bull always killing it with these videos as per usual! 🔥🔥🔥,Red Bull always killing it with these videos as per usual,negative
"great video, congrats to video team",great video congrats to video team,positive
BELLISSIMA PALERMO,BELLISSIMA PALERMO,neutral
Der japanische Holländer weckte die Stadt.<br><br>L&#39;olandese giapponese ha svegliato la città.<br><br>The Japanese Dutchman woke up the city.<br><br>Японский Нидерландец разбудил город. <br><br>日本のオランダ人が街を目覚めさせた。,Der japanische Hollnder weckte die StadtL39olandese giapponese ha svegliato la cittThe Japanese Dutchman woke up the city,neutral
"Fantastico, davvero. Progetto entusiasmante che rende giustizia ad una città FAVOLOSA...Ma, c&#39;è un frame nel quale appare Werstappen a Palermo?",Fantastico davvero Progetto entusiasmante che rende giustizia ad una citt FAVOLOSAMa c39 un frame nel quale appare Werstappen a Palermo,neutral
"<a href=""https://www.youtube.com/watch?v=T8Yxjf5hv-E&amp;t=97"">1:37</a> that scene gives me GT4 memories",137 that scene gives me GT4 memories,neutral
SPETTACOLARE🤩🤩🤩🏎️🏎️🏎️,SPETTACOLARE,neutral
Why dont you do this things when F1 comes to Portugal guys???? COME TO RAMPA DA FALPERRA!!! ITS FUN AF,Why dont you do this things when F1 comes to Portugal guys COME TO RAMPA DA FALPERRA ITS FUN AF,positive
Nice video. $$$,Nice video,positive
Se c era la Rossa veniva superata anche dal carretto delle spremute,Se c era la Rossa veniva superata anche dal carretto delle spremute,neutral
I am a DJI drone videographer and I have to admit that this video’s aerial shots are stunning!!,I am a DJI drone videographer and I have to admit that this videos aerial shots are stunning,positive
"In 50 years people are gonna wonder why flowers got under their house, then watch this video....",In 50 years people are gonna wonder why flowers got under their house then watch this video,neutral
Benvenuti in Italia🇮🇹❤️,Benvenuti in Italia,neutral
Yesss😍😍😍,Yesss,neutral
Man I miss that V8 sound,Man I miss that V8 sound,positive
Hey that&#39;s the front road of my home,Hey that39s the front road of my home,neutral
W Palermo Santa Rosalia &amp; a RedBull,W Palermo Santa Rosalia amp a RedBull,neutral
top video,top video,positive
"At this point I feel like Red Bull is production/videography company first, an F1 team second, and an energy drink company third.  When they are done with their engine factory we might know them for that as we are all driving around with RB engines in our cars 😂",At this point I feel like Red Bull is productionvideography company first an F1 team second and an energy drink company third  When they are done with their engine factory we might know them for that as we are all driving around with RB engines in our cars,positive
MI RACCOMANDO FATE VINCERE LA FERRARI A MOZA,MI RACCOMANDO FATE VINCERE LA FERRARI A MOZA,neutral
I don&#39;t get it... why Palermo? It&#39;s on the complete opposite side of Italy. No correlation with Monza.. or am I missing something.,I don39t get it why Palermo It39s on the complete opposite side of Italy No correlation with Monza or am I missing something,negative
I think this is my favorite one that they have done. RB great job. Coolest team in F1 by a mile.,I think this is my favorite one that they have done RB great job Coolest team in F1 by a mile,positive
Hope Max would conquer Monza,Hope Max would conquer Monza,neutral
Fantastico video e splendida Palermo!,Fantastico video e splendida Palermo,neutral
100% thought that was Lance getting married before he turned around,100 thought that was Lance getting married before he turned around,positive
Excelente video soy fans de red bull desde que checo perez pertenece al equipo red bull y máx y checo los mejores🌟🌟🌟🌟🌟,Excelente video soy fans de red bull desde que checo perez pertenece al equipo red bull y mx y checo los mejores,neutral
The wdc is yours king max 🤴🏻,The wdc is yours king max,neutral
Beautiful and spectacular video and city. <br>But why Palermo? Am I missing a link?,Beautiful and spectacular video and city But why Palermo Am I missing a link,positive
Io durante quasi tutto il video : “la marciaaaaa metti la marciaaa”,Io durante quasi tutto il video  la marciaaaaa metti la marciaaa,neutral
"This video is incredible, I just wonder, when are you going to invite your other pilot? Or does Max just run with you?",This video is incredible I just wonder when are you going to invite your other pilot Or does Max just run with you,positive
Chista si chiama...MERAVIGGHIA!<br>è uno spettacolo!<br>Grazie redbull per aver fatto risplendere la mia Palermo❤,Chista si chiamaMERAVIGGHIA uno spettacoloGrazie redbull per aver fatto risplendere la mia Palermo,neutral
Ma quanto diamine è bella Palermo?,Ma quanto diamine  bella Palermo,neutral
I wonder who drove,I wonder who drove,neutral
Davvero un video clamoroso,Davvero un video clamoroso,neutral
"im proud how mature he is now, he prove he can beat lewis last race. redbull racing honda, the best car and the better engine right now. free engine root for next year,wow",im proud how mature he is now he prove he can beat lewis last race redbull racing honda the best car and the better engine right now free engine root for next yearwow,positive
Mas vale que checo se pasee en un f1 por la zaragoza en noviembre por el gp de mexico,Mas vale que checo se pasee en un f1 por la zaragoza en noviembre por el gp de mexico,neutral
Equipo Red,Equipo Red,neutral
See you at Monza!!!,See you at Monza,neutral
Hermoso!!!<br>Saludos desde Argentina.,HermosoSaludos desde Argentina,neutral
"Questa è Palermo (Nella sua versione migliore, quella che dovremmo cercare e coltivare).",Questa  Palermo Nella sua versione migliore quella che dovremmo cercare e coltivare,neutral
This is pure art! Great shots! Just beautiful,This is pure art Great shots Just beautiful,positive
Che beeeellooo,Che beeeellooo,neutral
"Ferrari,, &quot;how dare you, this is our country&quot;",Ferrari quothow dare you this is our countryquot,neutral
Ok,Ok,positive
"<a href=""https://www.youtube.com/watch?v=T8Yxjf5hv-E&amp;t=205"">3:25</a> I love ittttt.",325 I love ittttt,positive
"Only for palermitans:<br><br>Si dice che il pilota sia stato multato dal sindaco Orlando per aver guidato all&#39;interno della ZTL... Alla Favorita ha superato il limite di velocità di 50 Km/h, e a Mondello ha invaso l&#39;accesso al porticciolo che è di competenza esclusiva dei pedoni.<br>Insomma al collaudatore Patrick Frischacher hanno stracciato la patente... :) ;) :)<br><br>Thanks a lot Red Bull, win for us !!!",Only for palermitansSi dice che il pilota sia stato multato dal sindaco Orlando per aver guidato all39interno della ZTL Alla Favorita ha superato il limite di velocit di 50 Kmh e a Mondello ha invaso l39accesso al porticciolo che  di competenza esclusiva dei pedoniInsomma al collaudatore Patrick Frischacher hanno stracciato la patente   Thanks a lot Red Bull win for us,positive
"Very nice, I&#39;m a Ferrari fan but I must admit that RedBull world is outstanding",Very nice I39m a Ferrari fan but I must admit that RedBull world is outstanding,positive
😍❤️,,neutral
Amazing job! Thank you City of Palermo and Red Bull for this wonderful video promotion. 😍,Amazing job Thank you City of Palermo and Red Bull for this wonderful video promotion,positive
C’è chi ha guardato questo video pk c’è jakidale e c’è chi mente,C chi ha guardato questo video pk c jakidale e c chi mente,neutral
How I miss that engine note!,How I miss that engine note,neutral
max driving in a green indoor stadium :),max driving in a green indoor stadium,negative
Jakidale numero 1,Jakidale numero 1,neutral
"Sicilie, ik moet toch weer eens naar mijn tante Maria, om lekkere pasta te eten. Thx Max",Sicilie ik moet toch weer eens naar mijn tante Maria om lekkere pasta te eten Thx Max,neutral
"Palermo, semplicemente la città più bella del mondo &lt;3",Palermo semplicemente la citt pi bella del mondo lt3,neutral
Monza is hype every year but this video got me soooooo ready for max to win his first championship I really wanna see Lewis do it also win his 8th but max has been grinding now for a long time,Monza is hype every year but this video got me soooooo ready for max to win his first championship I really wanna see Lewis do it also win his 8th but max has been grinding now for a long time,positive
"Hermoso video , Saludos desde México",Hermoso video  Saludos desde Mxico,neutral
Lmao Tifosi be sweating after seeing the Orange Army,Lmao Tifosi be sweating after seeing the Orange Army,positive
"<a href=""https://www.youtube.com/watch?v=T8Yxjf5hv-E&amp;t=191"">3:11</a>",311,neutral
"Negli anni 80, 90 questa città mi faceva tanta paura. Adesso si respira  un&#39;aria diversa grazie al sacrificio di tanti eroi anche se c è ancora tanto da fare",Negli anni 80 90 questa citt mi faceva tanta paura Adesso si respira  un39aria diversa grazie al sacrificio di tanti eroi anche se c  ancora tanto da fare,neutral
Full of cliches but no trash in sight around the city. What a miracle!,Full of cliches but no trash in sight around the city What a miracle,positive
Senza @jakidale non sarebbe stata la stessa cosa!!!,Senza jakidale non sarebbe stata la stessa cosa,neutral
"So this is where all the money outside of the budget cap goes to, interesting!",So this is where all the money outside of the budget cap goes to interesting,positive
Città paralizzata dal traffico ma ne è valsa la pena!,Citt paralizzata dal traffico ma ne  valsa la pena,neutral
"Thanks, Red Bull but he isn&#39;t Max. An amazing postcard about Palermo. I hope Max will be world champion. Arrivederci.",Thanks Red Bull but he isn39t Max An amazing postcard about Palermo I hope Max will be world champion Arrivederci,positive
Questo si che è fare pubblicità,Questo si che  fare pubblicit,neutral
Vota Patanè senza chiederti il perché,Vota Patan senza chiederti il perch,neutral
Plot twist: It was Alex Albon who was driving the car! ;),Plot twist It was Alex Albon who was driving the car,neutral
I wanna know who was really driving!?,I wanna know who was really driving,positive
"fantastic Palermo with its colors, its monuments and its street food",fantastic Palermo with its colors its monuments and its street food,positive
Mercedes fans press the dislike button :D,Mercedes fans press the dislike button D,neutral
That&#39;s not even him. Lol but yeah he&#39;s winning monza.,That39s not even him Lol but yeah he39s winning monza,positive
"I’ve been to Mondello beach before, it’s a lovely place",Ive been to Mondello beach before its a lovely place,positive
Imagine if it was still a v10 monster. Those stain glass windows would&#39;ve shattered.,Imagine if it was still a v10 monster Those stain glass windows would39ve shattered,neutral
"And this is why Red Bull is the best, on and off the track",And this is why Red Bull is the best on and off the track,positive
"Che spettacolo!! ..Adesso Red Bull ti prego compra il Palermo e riportalo dove merita, in SERIE A!🥰",Che spettacolo Adesso Red Bull ti prego compra il Palermo e riportalo dove merita in SERIE A,neutral
Lo spettacolo più impressionante è stato vedere le strade della città con più traffico del mondo completamente vuote.<br><br>In quei giorni la città è stata completamente paralizzata. E la quantità di insulti al sindaco è stata impressionante.,Lo spettacolo pi impressionante  stato vedere le strade della citt con pi traffico del mondo completamente vuoteIn quei giorni la citt  stata completamente paralizzata E la quantit di insulti al sindaco  stata impressionante,neutral
It&#39;s funny to see Luigi and Guido expression after rushing out just to see a non Ferrari race car🤣,It39s funny to see Luigi and Guido expression after rushing out just to see a non Ferrari race car,positive
Ma il problema di Palermo non era il traffico? 😂😂😂😂😂,Ma il problema di Palermo non era il traffico,neutral
"awesome promo, doubt it was really him driving though",awesome promo doubt it was really him driving though,positive
Che assurdità!!!<br>Bravi markettari del marketing... bella stupidaggine avete creato!!!,Che assurditBravi markettari del marketing bella stupidaggine avete creato,neutral
Is he robert Doornboos? Or Vitantonio Liuzzi?,Is he robert Doornboos Or Vitantonio Liuzzi,neutral
"Win in Italy,Grazie Mille🏆",Win in ItalyGrazie Mille,positive
"I like that they use the older car with the V8 for this, almost as if the video wouldn&#39;t be as fun to watch with the sound of a V6 hybrid😂",I like that they use the older car with the V8 for this almost as if the video wouldn39t be as fun to watch with the sound of a V6 hybrid,positive
Spot stupendo….forza max…Palermo in qsto video è magnifica…unica!!!,Spot stupendoforza maxPalermo in qsto video  magnificaunica,neutral
I watched three time.<br>This video is perfect!,I watched three timeThis video is perfect,positive
😍😍😍😍,,neutral
"Red bull sempre al top, la mia squadra preferita dopo Ferrari <br>Il prossimo anno fate una tappa a Catania",Red bull sempre al top la mia squadra preferita dopo Ferrari Il prossimo anno fate una tappa a Catania,positive
Notice how the car does not have a halo. Looks so weird without it now,Notice how the car does not have a halo Looks so weird without it now,negative
Palermo è un sentimento ❤️🥰 fiera della mia città ❤️🍋,Palermo  un sentimento  fiera della mia citt,neutral
"Adesso vieni a Catania, Max!",Adesso vieni a Catania Max,neutral
"veramente spettacolare l&#39;immagine di Palermo, complimenti a Red Bull per aver scelto la nostra bellissima città e complimenti ai ragazzi di Just Maria per la realizzazione!",veramente spettacolare l39immagine di Palermo complimenti a Red Bull per aver scelto la nostra bellissima citt e complimenti ai ragazzi di Just Maria per la realizzazione,neutral
Redbull is king of promotional videos. LOVE IT!,Redbull is king of promotional videos LOVE IT,positive
"Palermo, Palermo... Orgoglioso della mia città, per cui ho scritto &quot;Questa è Palermo&quot;! ❤️",Palermo Palermo Orgoglioso della mia citt per cui ho scritto quotQuesta  Palermoquot,neutral
The fake dialogue really ruins this beautiful film.,The fake dialogue really ruins this beautiful film,positive
Do a road trip in México plis,Do a road trip in Mxico plis,neutral
"<a href=""https://www.youtube.com/watch?v=T8Yxjf5hv-E&amp;t=192"">3:12</a>🙏🏻",312,neutral
Spettacolare 😍,Spettacolare,neutral
And Rome Tomorrow please,And Rome Tomorrow please,neutral
My favorite brand always doing the most. ❤️💙❤️💙❤️💙,My favorite brand always doing the most,positive
this is better than belgium gp,this is better than belgium gp,positive
"They Just payed 182€ to the council to make more mess and leave the city’s street dirty , they use the main road to do this video and I repeat they just pay 182€ that’s miserably miserable .",They Just payed 182 to the council to make more mess and leave the citys street dirty  they use the main road to do this video and I repeat they just pay 182 thats miserably miserable,negative
Mammamia! 🇮🇹,Mammamia,neutral
se va alla Magione mi sa che il parcheggiatore gli chiede più di 1 euro...,se va alla Magione mi sa che il parcheggiatore gli chiede pi di 1 euro,neutral
Bring in checo!!!!,Bring in checo,neutral
Redbull after the seasons end : We built the so we are gonna use the car,Redbull after the seasons end  We built the so we are gonna use the car,neutral
Sono di Catania peccato,Sono di Catania peccato,neutral
"Not that Max really was in the car, but a great video, really cool!",Not that Max really was in the car but a great video really cool,positive
When is Max going to drive a F1 car upside down?,When is Max going to drive a F1 car upside down,negative
I would have gone for the Soft Tyre strategy for the pedestrian concourse IMO.,I would have gone for the Soft Tyre strategy for the pedestrian concourse IMO,positive
Palermo SICILY 🇮🇲,Palermo SICILY,neutral
Ma?,Ma,neutral
beautiful video and amazing Palermo but Italy has moved on from the 1950&#39;s or so...long time ago. We are much more than that.,beautiful video and amazing Palermo but Italy has moved on from the 195039s or solong time ago We are much more than that,positive
"🧢 no way that’s Max, I’m insulted y’all think I would fall for it",no way thats Max Im insulted yall think I would fall for it,neutral
exelente video  y gracias por compartir red bull raicing honda saludos desde mexico,exelente video  y gracias por compartir red bull raicing honda saludos desde mexico,neutral
"Sarò un tifossissimo Ferrari, ma vedere una redbull in giro per Palermo è al quanto emozionante.... <br>Complimenti!!!!",Sar un tifossissimo Ferrari ma vedere una redbull in giro per Palermo  al quanto emozionante Complimenti,neutral
W Santa Rosalia,W Santa Rosalia,neutral
David the 🐐,David the,neutral
This is a masterpiece 😍,This is a masterpiece,neutral
After crossing finish line in Zandvoort ....<br>F1 Teams : Shipping the cars in Trucks for next Location<br>Max : Keep racing to Monza,After crossing finish line in Zandvoort F1 Teams  Shipping the cars in Trucks for next LocationMax  Keep racing to Monza,neutral
B&amp;B Ai Quartieri a Palermo ❤💯,BampB Ai Quartieri a Palermo,neutral
Go max and Checo!,Go max and Checo,neutral
"Avrei potuto fare una facile battuta del tipo: &quot;strano che non gli abbiano rubato la macchina&quot; ma invece devo levarmi il cappello di fronte a cotanta bellezza.. I colori, i suoni e le immagini ti fanno respirare il profumo di Palermo.. Il profumo di una terra, la Sicilia, che nonostante sia martoriata ha delle bellezze che lasciano di stucco il mondo intero.. Red bull è veramente imbattibile nelle sue pubblicità e in questi video particolari, che riescono a farti sorridere ed emozionare al tempo stesso.. risultato veramente  meraviglioso, complimenti",Avrei potuto fare una facile battuta del tipo quotstrano che non gli abbiano rubato la macchinaquot ma invece devo levarmi il cappello di fronte a cotanta bellezza I colori i suoni e le immagini ti fanno respirare il profumo di Palermo Il profumo di una terra la Sicilia che nonostante sia martoriata ha delle bellezze che lasciano di stucco il mondo intero Red bull  veramente imbattibile nelle sue pubblicit e in questi video particolari che riescono a farti sorridere ed emozionare al tempo stesso risultato veramente  meraviglioso complimenti,neutral
"Max, Max, Super Max.",Max Max Super Max,positive
che meraviglia questo video 😍😍😍,che meraviglia questo video,neutral
WOW CHE SPOT FANTASTICO COMPLIMENTI ALLA RED BULL 😉😉😉,WOW CHE SPOT FANTASTICO COMPLIMENTI ALLA RED BULL,positive
I hate the fact that you can&#39;t use this year car. Still amazing video.,I hate the fact that you can39t use this year car Still amazing video,negative
Behind the Charge Zandvoort when?🔥,Behind the Charge Zandvoort when,negative
"Checo where ? Red Bull prefer Max verstapen in pit stops, engineer strategies really ?",Checo where  Red Bull prefer Max verstapen in pit stops engineer strategies really,positive
another cool video @Red Bull Racing Honda,another cool video Red Bull Racing Honda,positive
"I’m going out on a limb here, but I don’t think this is Max",Im going out on a limb here but I dont think this is Max,neutral
I wanna hear &quot;Grazie ragazzi.&quot; This weekend.,I wanna hear quotGrazie ragazziquot This weekend,neutral
Max red bull monza,Max red bull monza,neutral
Let’s go Max,Lets go Max,neutral
Absolutely fabulous! What a PR in the middle of Palermo!,Absolutely fabulous What a PR in the middle of Palermo,positive
Ma quelli che hanno messo il pollice in giù che problemi hanno🙄,Ma quelli che hanno messo il pollice in gi che problemi hanno,neutral
Spettacolare😍,Spettacolare,neutral
Nice!,Nice,positive
We LOVE Sicily and MAX !,We LOVE Sicily and MAX,positive
"anybody know what song is it on <a href=""https://www.youtube.com/watch?v=T8Yxjf5hv-E&amp;t=99"">1:39</a>",anybody know what song is it on 139,neutral
Even Toto is impressed,Even Toto is impressed,positive
"Every time I saw these videos, I would think &quot;I don&#39;t think they are F1 drivers, they have to hire professionals for the shots&quot;, but I remember that an F1 driver is professional enough to do that.",Every time I saw these videos I would think quotI don39t think they are F1 drivers they have to hire professionals for the shotsquot but I remember that an F1 driver is professional enough to do that,positive
"È un&#39;offesa per noi Palermitani avete tenuto una settimana tutta Palermo bloccata per fare gli interessi di altri , a discapito di tutti i Palermitani che dovevano andare a lavorare bloccati nel traffico , e alla fine il comune di Palermo ha guadagnato soltanto 180 € vergognatevi !!!",un39offesa per noi Palermitani avete tenuto una settimana tutta Palermo bloccata per fare gli interessi di altri  a discapito di tutti i Palermitani che dovevano andare a lavorare bloccati nel traffico  e alla fine il comune di Palermo ha guadagnato soltanto 180  vergognatevi,positive
Me encantan sus locuras jajaja,Me encantan sus locuras jajaja,neutral
Is this the vettel car?,Is this the vettel car,neutral
Red Bull is &quot;PR&quot;,Red Bull is quotPRquot,neutral
ma nessuno parla del fatto che jakidale è in un video di red bull? ahahaha,ma nessuno parla del fatto che jakidale  in un video di red bull ahahaha,neutral
Spettacolare!!!!! Noi siciliani vi ringraziamo!,Spettacolare Noi siciliani vi ringraziamo,neutral
"Higos, granadas y el abuelo Angelo tejiendo mimbre..... cuantos recuerdos per me!!",Higos granadas y el abuelo Angelo tejiendo mimbre cuantos recuerdos per me,neutral
Emozioni a go go in questo video. Quanto è bella la mia Palermo 🤩,Emozioni a go go in questo video Quanto  bella la mia Palermo,neutral
💪👌🥇,,neutral
Red Bull Racing Honda hits 1M sub,Red Bull Racing Honda hits 1M sub,neutral
Luigi only follow Ferrari,Luigi only follow Ferrari,neutral
What about making one of these with Checo in Mexico?,What about making one of these with Checo in Mexico,neutral
PR team: So how much money can we spend?<br><br><br><br>RedBull: Yes,PR team So how much money can we spendRedBull Yes,positive
Forza Max!,Forza Max,neutral
No one does it like Redbull 😍,No one does it like Redbull,neutral
Palermo ti mette le ali😜,Palermo ti mette le ali,neutral
It&#39;s really a shame it&#39;s never the actual driver in these things. Would add a more believable factor to these videos.,It39s really a shame it39s never the actual driver in these things Would add a more believable factor to these videos,positive
Quedo bellísimo 😎🇲🇽🇲🇽🇲🇽,Quedo bellsimo,neutral
"everyone that knows Palermo is aware of the fact, that because of the extreme traffic it would take hours to get anywhere. The car ist the problem, not the solution!",everyone that knows Palermo is aware of the fact that because of the extreme traffic it would take hours to get anywhere The car ist the problem not the solution,positive
RBR did it again! YES! Tifosi here...,RBR did it again YES Tifosi here,neutral
Awesome!!,Awesome,positive
Palermo ❤️,Palermo,neutral
Everyone wants a close 3 way fight for the championship next year,Everyone wants a close 3 way fight for the championship next year,positive
La mia palermo❤ questo video è stupendo!,La mia palermo questo video  stupendo,neutral
"We are absolutely astonished. All of Palermo thanks you so so so so much for this beautiful showcasing of our city. See you all in Monza 🇮🇹<br><br>P.S. next time let Max have at least a nice and fresh slice of white melon, don&#39;t be so evil🥺",We are absolutely astonished All of Palermo thanks you so so so so much for this beautiful showcasing of our city See you all in Monza PS next time let Max have at least a nice and fresh slice of white melon don39t be so evil,positive
Its not a honda engine.. its renault,Its not a honda engine its renault,neutral
"They missed the opportunity to end it with a &quot;Boat, Boat, please confirm&quot;",They missed the opportunity to end it with a quotBoat Boat please confirmquot,neutral
Hey guys why don’t you come to Dominican Republic one more time ? That would be awesome 🔥🔥🔥🔥🔥,Hey guys why dont you come to Dominican Republic one more time  That would be awesome,positive
Agency: So what sort of budget are we talking?<br><br>Red Bull: yes,Agency So what sort of budget are we talkingRed Bull yes,neutral
The drone shots are amazing!,The drone shots are amazing,positive
Lol every one of these Red Bull F1 videos are exactly the same.,Lol every one of these Red Bull F1 videos are exactly the same,positive
heel mooie video,heel mooie video,neutral
What RB is that?,What RB is that,neutral
Super Max max,Super Max max,positive
Hear me out New street circuit,Hear me out New street circuit,positive
Meravigliosa la mia PALERMO. ❤️Orgogliosa della mia città 🇮🇹,Meravigliosa la mia PALERMO Orgogliosa della mia citt,neutral
"<a href=""https://www.youtube.com/watch?v=T8Yxjf5hv-E&amp;t=85"">1:25</a> I legit thought that Lance Stroll was getting married on a Red Bull video from that angle… oof",125 I legit thought that Lance Stroll was getting married on a Red Bull video from that angle oof,positive
I love this videos,I love this videos,positive
"Viva Palermo, Viva el RedBull, Viva, Viva el Amor!",Viva Palermo Viva el RedBull Viva Viva el Amor,neutral
Was this actually max or just David in Max’s helmet?,Was this actually max or just David in Maxs helmet,neutral
Bellissima Palermo non mi stancherò mai di dirlo❤️❤️❤️,Bellissima Palermo non mi stancher mai di dirlo,neutral
"Would be funny if they had the other drivers in as easter eggs, like lando and carlos golfing in the background or something.",Would be funny if they had the other drivers in as easter eggs like lando and carlos golfing in the background or something,positive
Ahah excellent,Ahah excellent,positive
"Spoilers: everyone he passes is a paid model or actor, that&#39;s not even Max driving and all of his lines were written by someone else and recorded in a studio.🎙",Spoilers everyone he passes is a paid model or actor that39s not even Max driving and all of his lines were written by someone else and recorded in a studio,neutral
Imagine you selling tomatoes and suddenly a crazy guy driving f1 bought your tomatoes,Imagine you selling tomatoes and suddenly a crazy guy driving f1 bought your tomatoes,negative
Was this the RB7?,Was this the RB7,neutral
Get the tifosi ready guys hope shaarl leglerg or Carlos wins this time,Get the tifosi ready guys hope shaarl leglerg or Carlos wins this time,positive
Redbull Commercials never disappoint me,Redbull Commercials never disappoint me,neutral
One word: EPIC!!,One word EPIC,positive
Another beautiful video,Another beautiful video,positive
Who&#39;s driving DC I assume?,Who39s driving DC I assume,neutral
Verstappen:<br>-Great spot for a spin<br><br>Mazepin:<br>-Hold my beer,VerstappenGreat spot for a spinMazepinHold my beer,neutral
"That sound was good. Without the sound this video would not be possible.<br>Unfortunately, we no longer hear it on a race track.",That sound was good Without the sound this video would not be possibleUnfortunately we no longer hear it on a race track,positive
Brividi!,Brividi,neutral
Palermo la città più bella è colorita del mondo😍😍,Palermo la citt pi bella  colorita del mondo,neutral
Really hoping Max could overcome the issues he had with Monza in the past.,Really hoping Max could overcome the issues he had with Monza in the past,negative
"<a href=""https://www.youtube.com/watch?v=T8Yxjf5hv-E&amp;t=102"">1:42</a><br>Max: Great spot for a little spin<br>Vettel at Ferrari: and i took that personally",142Max Great spot for a little spinVettel at Ferrari and i took that personally,positive
"And what does this video teach us? That modern F1 cars are so silent, they are even suitable for city traffic.",And what does this video teach us That modern F1 cars are so silent they are even suitable for city traffic,positive
Questo spot avvalora la mia tesi nonché la mia convinzione che Palermo senza i palermitani è una città bellissima,Questo spot avvalora la mia tesi nonch la mia convinzione che Palermo senza i palermitani  una citt bellissima,neutral
Interesante,Interesante,neutral
Love the flex here. Ferrari is so where like wtf.,Love the flex here Ferrari is so where like wtf,neutral
RB 2013 car&#39;s???,RB 2013 car39s,neutral
Palermo Casa de sant Angelo,Palermo Casa de sant Angelo,neutral
I like video like this i want too in my country ❤️,I like video like this i want too in my country,neutral
Hanno capito anche loro che per fare più scena serviva il baccano delle vecchie v8 aspirate. Ci vediamo a Monza con l&#39;aspirapolvere.,Hanno capito anche loro che per fare pi scena serviva il baccano delle vecchie v8 aspirate Ci vediamo a Monza con l39aspirapolvere,neutral
Bellissimo video❤️ La mia Palermo,Bellissimo video La mia Palermo,neutral
"Bellissimo, bellissima Palermo ❤️",Bellissimo bellissima Palermo,neutral
RB😍,RB,neutral
Sicily 🇮🇲🇮🇹😍 Sicilia,Sicily  Sicilia,neutral
La nostra palermo ..spettacolo puro💗🖤,La nostra palermo spettacolo puro,neutral
Enjoy italy boys,Enjoy italy boys,positive
"This is the most beautiful city of the world, guys",This is the most beautiful city of the world guys,positive
Bruh.,Bruh,neutral
i thought the current V6 turbo hybrid power units were so much more quieter!  LOL Im sure that is a naturally aspirated V8 that I can hear 🤣😂,i thought the current V6 turbo hybrid power units were so much more quieter  LOL Im sure that is a naturally aspirated V8 that I can hear,positive
The production quality on these is UNBELIEVABLE. Thoroughly enjoyed this RBR! Keep these coming!,The production quality on these is UNBELIEVABLE Thoroughly enjoyed this RBR Keep these coming,positive
Enjoy this video everyone..💃💃,Enjoy this video everyone,positive
sa quanto gli è costato il parcheggiatore abusivo a max,sa quanto gli  costato il parcheggiatore abusivo a max,neutral
